EPGChannelID,ChannelName,GuideChannelNum,StreamURL,NumCaptionTracks,Error
3008,CNN International North America,581,https://str2atl270.mdu1.tv/CNNI-581/index.m3u8,2,
2680,Starz Cinema - Eastern,1822,https://str2atl270.mdu1.tv/STARZ_CINEMA-1822/index.m3u8,3,
2673,RFD-TV,1203,https://str2atl270.mdu1.tv/RFDTV-1203/index.m3u8,3,
2664,CNBC World,509,https://str2atl270.mdu1.tv/CNBC-WORLD-509/index.m3u8,-1, http error 404 not found
2524,"ABC (WMBB) Panama City, FL",13,https://local.pfla.mdu1.net/WMBB-DT/index.m3u8,1,
2523,"FOX (WPGX) Panama City, FL",28,https://local.pfla.mdu1.net/FOX-28/index.m3u8,1,
2434,"NBC (WJHG) Panama City Beach, FL",7,https://local.pfla.mdu1.net/WJHG-HD/index.m3u8,1,
2273,Showtime Women - Eastern,1843,https://str2atl270.mdu1.tv/SHOWTIME_WOMEN-1843/index.m3u8,3,
2272,Showtime Next - Eastern,1842,https://str2atl270.mdu1.tv/SHOWTIME_NEXT-1842/index.m3u8,3,
2271,Showtime Showcase - Eastern,1838,https://str2atl270.mdu1.tv/SHOWCASE-1838/index.m3u8,3,
2269,The Tennis Channel,1617,https://str2atl270.mdu1.tv/TENNIS-1617/index.m3u8,3,
2268,Boomerang,306,https://str2atl270.mdu1.tv/BOOMERANG-306/index.m3u8,2,
2143,Motor Trend,1129,https://str2atl270.mdu1.tv/MOTOR_TREND-1129/index.m3u8,3,
2120,Starz Edge - Eastern,1824,https://str2atl270.mdu1.tv/STARZ_EDGE-1824/index.m3u8,3,
2114,Fox Sports 2,1614,https://str2atl270.mdu1.tv/FOX_SPORTS_2-1614/index.m3u8,3,
2108,ESPN Deportes,1615,https://str2atl270.mdu1.tv/DEPORTES-1615/index.m3u8,3,
2090,Investigation Discovery USA - Eastern,1126,https://str2atl270.mdu1.tv/INVESTIGATION_DISCOVERY-1126/index.m3u8,3,
2080,Starz Encore Classic - Eastern,1818,https://str2atl270.mdu1.tv/ENCORE_CLASSIC-1818/index.m3u8,3,
2078,Starz Encore Action - Eastern,1816,https://str2atl270.mdu1.tv/ENCORE_ACTION-1816/index.m3u8,3,
2077,SHOXBET - Eastern,1841,https://str2atl270.mdu1.tv/SHOWTIME_BEYOND-1841/index.m3u8,3,
